737	148		
-4.65	40.28	9977	1979
-5.08	40.28	9977	1090
-5.13	40.14	9977	6348
-4.58	40.46	9977	2025
-5.28	40.18	9977	5137
-4.77	40.3	9977	1644
-4.43	40.46	9977	3317
-5.03	40.29	9977	659
-4.94	40.72	9977	119
-5.08	40.94	9977	446
-4.91	40.7	9977	102
-4.86	40.26	9977	745
-5.13	40.21	9977	688
-4.53	40.59	9977	488
-5.1	41.07	9977	827
-5.14	40.26	9977	432
-4.99	40.41	9977	414
-4.39	40.5	9977	2455
-4.85	41	9977	605
-4.93	40.19	9977	912
-4.54	40.8	9977	655
-4.82	40.28	9977	1013
-5.03	40.23	9977	1198
-4.89	40.6	9977	452
-4.77	41	9977	1007
-5.49	40.25	9977	456
-4.92	40.39	9977	527
-4.69	40.4	9977	2009
-5.11	40.35	9977	486
-4.87	40.36	9977	402
-4.77	40.85	9977	222
-4.76	41.11	9977	529
-4.91	40.25	9977	1354
-4.7	40.32	9977	2124
-5.16	40.17	9977	762
-4.8	40.84	9977	202
-4.94	40.29	9977	921
-4.68	40.47	9977	698
-5	40.21	9977	654
-5.41	40.51	9977	604
-4.9	40.33	9977	438
-4.83	40.38	9977	552
-4.62	40.27	9977	3955
-4.54	40.31	9977	1260
-4.48	40.37	9977	3893
-4.29	40.62	9977	4625
-4.48	40.53	9977	966
-4.68	40.77	9977	870
-4.65	40.89	9977	2119
-4.87	41.01	9977	8629
-4.99	41.07	9977	3743
-4.96	40.97	9977	2436
-5.02	40.84	9977	2408
-5.03	40.72	9977	1188
-4.92	40.62	9977	660
-5.47	40.41	9977	1708
-5.64	40.38	9977	1361
-5.55	40.29	9977	3888
-5.4	40.32	9977	989
-5.28	40.34	9977	701
-4.86	40.55	9977	2313
-4.76	40.6	9977	695
-4.87	40.4	9977	2273
-4.8	40.46	9977	968
-5.21	40.69	9977	2263
-4.78	40.91	9977	1765
-4.88	40.8	9977	1718
-4.72	40.93	9977	1113
-4.43	40.67	9977	1305
-5.05	40.37	9977	1528
-5.1	40.57	9977	1923
-5.29	40.51	9977	4855
-5.17	40.33	9977	455
-4.79	40.77	9977	1315
-4.66	40.65	9977	4954.7
-3.03	41.92	9977	635
-3.66	42.29	9977	478
-3.6	42.33	9977	400
